clump_id,7m_loc,12m_loc,tp_loc,loc,tp_sub_loc,pipeline_run
C111,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X977/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X977/,
C112,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X975/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X975/,
C113,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X979/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X979/,
C114,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X975/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X975/,
C115,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X975/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X975/,
C116,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X977/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X977/,
C117,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X979/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X979/,
C118,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X975/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X975/,
C119,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X977/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X977/,
C120,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X977/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X977/,
C121,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X979/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X979/,
C122,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X975/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X975/,
C123,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X979/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X979/,
C124,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X979/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X979/,
C125,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X973/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X971/,group.uid___A001_X35f5_X970/member.uid___A001_X35f5_X977/,science_goal.uid___A001_X35f5_X96f/,member.uid___A001_X35f5_X977/,
C126,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X981/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X981/,
C127,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X983/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X983/,
C128,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X983/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X983/,
C129,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X981/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X981/,
C130,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X983/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X983/,
C131,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X983/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X983/,
C132,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X981/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X981/,
C133,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X981/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X981/,
C134,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X981/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X981/,
C135,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X983/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X983/,
C136,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97f/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X97d/,group.uid___A001_X35f5_X97c/member.uid___A001_X35f5_X981/,science_goal.uid___A001_X35f5_X97b/,member.uid___A001_X35f5_X981/,
